,STOCK,SMB,HML
230,BKR,0.046390486,-0.079213281
746,FLR,-0.083651947,-0.079519734
1764,SPE,0.031538142,-0.079972481
1788,STAG,-0.004071055,-0.080185935
1880,TNC,-0.095848516,-0.080218799
191,BCML,0.050476588,-0.08030094
2042,WEN,0.229389278,-0.08084748
1604,REG,0.087838259,-0.081091307
796,FUSB,-0.178893561,-0.08160306
673,EVN,-0.268859861,-0.082585727
249,BOKF,0.055146787,-0.082900905
1963,UPBD,0.361648874,-0.082906015
529,DINO,0.152045023,-0.083093557
118,ARI,-0.073836938,-0.083418686
1357,NOK,0.511013603,-0.083421814
680,EXC,0.06111265,-0.083779714
1669,SBFG,0.161580845,-0.084027714
283,BXMX,-0.064226664,-0.085867087
773,FRA,-0.023523228,-0.086084545
1998,VIV,0.073598149,-0.08645737
295,CAG,-0.184327936,-0.086875835
1953,ULTA,-0.3356015,-0.087231527
330,CCU,0.137963334,-0.087498965
1268,MOS,-0.336885425,-0.089241479
1773,SPXX,0.027076587,-0.089264238
1240,MIN,-0.071074546,-0.08947338
1772,SPXC,0.027956694,-0.08948023
252,BOTJ,0.131198986,-0.089656236
447,CROX,-0.038615229,-0.089961755
199,BDX,-0.040148412,-0.090270499
1302,MVF,-0.211404472,-0.091083757
312,CBFV,-0.172863006,-0.091437402
1527,PLXS,0.027037769,-0.0920648
1021,INFY,0.14546761,-0.092180725
211,BGR,0.077746793,-0.092679395
1104,KMI,-0.110133729,-0.093645482
1361,NPK,0.049705294,-0.093962012
1511,PHX,-0.196186802,-0.094087791
1770,SPSC,0.063339836,-0.094190026
636,EQC,-0.053049646,-0.094196769
1937,UBFO,-0.041068376,-0.094388012
1983,VABK,-0.051854084,-0.095410128
591,EFR,-0.104044998,-0.095523521
1282,MSD,0.044803727,-0.095534161
695,FAM,0.009517699,-0.095849593
613,ELSE,0.247168207,-0.096512902
